"no","dir","向き","回","t_s","v0","加速_ピークV","加速_ピーク加速度","加速_滑り始めV","加速_終わり","加速_速度","加速距離","助走距離","減速_ピークV","減速_ピーク加速度","減速_滑り始めV","減速_終わり","ブレーキ開始速度","停止距離","平均減速度","状態","電池V"
"1","0","前(+x)","1","1.103","1","2.19","5.22","2.03","電圧の余裕なし","1.387","0.204","0.154","2.17","6.91","0","滑らず停止","1.387","0.411","2.34","1","23"
"2","1","後(-x)","1","4.405","1","1.91","3.66","1.83","滑り始め","1.234","0.15","0.134","1.95","6.35","0","滑らず停止","1.234","0.335","2.27","1","24"
"3","2","左(+y)","1","9.451","1","0","0","0","-","0","0","0.54","0","0","0","-","0","0",,"1","24"
