"no","dir","向き","回","t_s","v0","加速_ピークV","加速_ピーク加速度","加速_滑り始めV","加速_終わり","加速_速度","加速距離","助走距離","減速_ピークV","減速_ピーク加速度","減速_滑り始めV","減速_終わり","ブレーキ開始速度","停止距離","平均減速度","状態","電池V"
"1","0","前(+x)","1","1.13","1","2.17","3.47","1.9","電圧の余裕なし","1.207","0.1","0.139","1.56","3.67","1.42","滑り始め","1.207","0.491","1.48","1","24"
"2","1","後(-x)","1","3.719","1","2.01","4.85","1.9","滑り始め","1.145","0.08","0.15","1.57","3.12","1.43","滑り始め","1.145","0.407","1.61","1","24"
"3","2","左(+y)","1","6.541","1","2.03","3.64","1.9","滑り始め","1.102","0.084","0.146","1.48","4.09","1.42","滑り始め","1.102","0.385","1.58","1","24"
"4","3","右(-y)","1","10.69","1","1.97","3.02","1.9","滑り始め","1.084","0.072","0.449","1.56","5.86","1.42","滑り始め","1.084","0.328","1.79","1","24"
"5","4","左前","1","14.022","1.5","0","0","0","-","0","0","0.257","0","0","0","-","0","0",,"1","24"
