# rx_stall wheel=1 t=39155 SR=0x00D4 CR3=0x0041 NDTR=475 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=43916 SR=0x00D4 CR3=0x0041 NDTR=752 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=49615 SR=0x00D4 CR3=0x0041 NDTR=305 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=50260 SR=0x0014 CR3=0x00C1 NDTR=375 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51256 SR=0x00D4 CR3=0x0041 NDTR=930 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=51301 SR=0x00D4 CR3=0x0041 NDTR=347 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51647 SR=0x00D4 CR3=0x0041 NDTR=674 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=52265 SR=0x00D# rx_stall wheel=2 t=49628 SR=0x0014 CR3=0x00C1 NDTR=232 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=50073 SR=0x00D4 CR3=0x0041 NDTR=584 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=50480 SR=0x00D4 CR3=0x0041 NDTR=43 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=50843 SR=0x00D4 CR3=0x0041 NDTR=467 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=52483 SR=0x00D4 CR3=0x0041 NDTR=381 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=53148 SR=0x00D4 CR3=0x0041 NDTR=90 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55006 SR=0x00D4 CR3=0x0041 NDTR=722 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55546 SR=0x00D4 CR3=0x0041 NDTR=70 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55877 SR=0x00D4 CR3=0x0041 NDTR=125 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=56923 SR=0x00D4 CR3=0x0041 NDTR=661 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=57226 SR=0x00D4 CR3=0x0041 NDTR=880 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=60248 SR=0x00D4 CR3=0x0041 NDTR=341 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=60756 SR=0x00D4 CR3=0x0041 NDTR=851 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=61867 SR=0x00D4 CR3=0x0041 NDTR=825 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=63766 SR=0x00D4 CR3=0x0041 NDTR=140 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=65238 SR=0x00D4 CR3=0x0041 NDTR=10 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=68963 SR=0x00D4 CR3=0x0041 NDTR=192 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=70053 SR=0x00D4 CR3=0x0041 NDTR=841 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=71071 SR=0x0014 CR3=0x00C1 NDTR=942 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=71110 SR=0x00D4 CR3=0x0041 NDTR=327 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=73351 SR=0x00D4 CR3=0x0041 NDTR=616 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=74675 SR=0x00D4 CR3=0x0041 NDTR=89 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=77167 SR=0x00D4 CR3=0x0041 NDTR=988 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=78506 SR=0x00D4 CR3=0x0041 NDTR=925 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=79200 SR=0x00D4 CR3=0x0041 NDTR=849 EN=1 RxState=0x22 Err=0x00
# TCS log: max_accel=1800 jerk=25000 accel_th=400 geom_th=1500 rot_th=450 [x100] margin=150 exit=100 [mm/s] n=997
t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
290,1,0,2000,2000,531,-14,517,-3,277,271,0,-35,-255,1000,-1816,-1394,938,1236,0,380,-793,-5365,-4619,4809,5556,0,0,-186,-163,152,173
300,1,0,2000,2000,585,-49,552,2,418,255,0,-61,-433,1000,-2126,-1412,1042,1332,0,399,-773,-5361,-4614,4813,5560,0,0,-186,-163,152,173
310,1,0,2000,2000,576,-46,571,-13,114,187,0,-23,-346,1000,-2000,-1475,1123,1248,0,423,-800,-5355,-4608,4819,5566,0,0,-186,-163,152,173
320,1,0,2000,2000,579,-29,589,-19,65,191,0,-37,-262,1000,-1991,-1475,1069,1335,0,448,-826,-5348,-4601,4826,5573,0,0,-186,-162,152,173
330,1,0,2000,2000,573,-3,607,-13,-54,212,0,-21,38,1000,-1810,-1481,1113,1411,0,466,-810,-5344,-4597,4830,5577,0,0,-185,-162,152,173
340,1,0,2000,2000,602,34,616,-2,219,200,0,5,261,1000,-1714,-1660,1203,1552,0,492,-849,-5337,-4591,4837,5584,0,0,-185,-162,153,174
350,1,0,2000,2000,648,35,634,2,318,164,0,-4,114,1000,-1893,-1781,1253,1669,0,515,-834,-5332,-4585,4842,5589,0,0,-185,-162,153,174
360,1,0,2000,2000,650,29,648,20,187,162,0,-14,236,1000,-1890,-1709,1287,1723,0,531,-799,-5328,-4581,4846,5593,0,0,-185,-162,153,174
370,1,129,2000,1965,822,219,687,51,1144,201,0,153,-1361,1000,-2031,-3368,1271,1804,0,544,-767,-5230,-4496,4768,5502,0,0,-181,-159,151,171
380,1,0,2000,1958,609,-81,687,32,-536,170,-707,-134,757,1000,-2085,-891,1315,1815,0,558,-675,-5209,-4477,4756,5488,0,0,-181,-158,150,171
390,1,0,2000,1989,665,-3,681,16,139,115,23,-66,538,1000,-1977,-1406,1402,1943,0,555,-579,-5293,-4550,4828,5571,0,0,-184,-161,152,173
400,1,0,2000,2000,732,50,700,26,416,130,0,-53,530,1000,-2016,-1710,1475,2212,0,552,-524,-5322,-4575,4852,5599,0,0,-185,-162,153,174
410,1,0,2000,2000,715,73,727,31,74,205,0,-19,585,1000,-1827,-1786,1489,2160,0,549,-485,-5323,-4576,4851,5598,0,0,-185,-162,153,174
420,1,0,2000,2000,778,15,758,46,336,220,0,-42,3,1000,-2285,-1867,1594,2149,0,559,-399,-5321,-4574,4853,5600,0,0,-185,-161,153,174
430,1,0,2000,2000,790,40,754,27,224,22,0,-12,44,1000,-2181,-2002,1664,2192,0,552,-336,-5322,-4575,4852,5599,0,0,-185,-162,153,174
440,1,0,2000,2000,826,49,779,37,306,89,0,-41,133,1000,-2284,-1995,1695,2405,0,548,-268,-5323,-4576,4851,5598,0,0,-185,-162,153,174
450,1,0,2000,2000,874,90,828,55,440,250,0,-78,407,1000,-2349,-2045,1687,2765,0,541,-268,-5325,-4578,4849,5596,0,0,-185,-162,153,174
460,1,0,2000,2000,880,95,847,46,244,158,0,-86,584,1000,-2343,-2025,1698,2833,0,563,-336,-5320,-4573,4854,5601,0,0,-185,-161,153,174
470,1,0,2000,2000,844,67,866,65,-132,167,0,-51,235,1000,-2313,-2046,1678,2523,0,572,-333,-5318,-4571,4857,5604,0,0,-184,-161,153,174
480,1,0,2000,2000,885,50,853,74,211,-12,0,-17,-45,1000,-2440,-2243,1841,2468,0,568,-282,-5318,-4571,4856,5603,0,0,-184,-161,153,174
490,1,0,2000,2000,914,37,876,65,263,69,0,-59,-139,1000,-2658,-2205,1815,2591,0,575,-283,-5317,-4570,4857,5604,0,0,-184,-161,153,174
500,1,0,2000,2000,884,52,932,50,-38,399,0,-36,190,1000,-2417,-2140,1850,2573,0,581,-277,-5315,-4568,4859,5606,0,0,-184,-161,153,174
510,1,0,2000,2000,855,-12,901,34,-212,43,0,48,-619,1000,-2489,-2339,1929,1975,0,596,-314,-5311,-4564,4863,5610,0,0,-184,-161,153,174
520,1,0,2000,2000,845,34,888,50,-116,37,0,-23,-772,1000,-2545,-2268,1602,2171,0,587,-237,-5314,-4567,4860,5607,0,0,-184,-161,153,174
530,1,0,2000,2000,893,19,914,47,226,229,0,-48,-514,1000,-2696,-2223,1746,2388,0,596,-251,-5311,-4564,4863,5610,0,0,-184,-161,153,174
540,1,0,2000,2000,924,18,909,53,282,57,0,14,-289,1000,-2601,-2403,2027,2384,0,610,-288,-5308,-4561,4866,5613,0,0,-184,-161,153,175
551,1,0,2000,2000,970,16,922,13,383,42,0,-53,62,1000,-2796,-2256,2056,2733,0,623,-311,-5305,-4558,4869,5616,0,0,-184,-161,153,175
