Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C17, C18, C19, C25, C26, C63, C67, C76",0603,10,0.1u,
C10,0603,1,10n,
"C100, C101, C102, C103, C104, C105, C106, C107, C28, C30, C32, C34, C35, C36, C37, C38, C42, C44, C46, C48, C50, C52, C54, C56, C58, C60, C61, C62, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",1210,48,10u,
"C11, C13",0603,2,8.2n,
C12,0603,1,4.7n,
C14,0603,1,0.1,
"C2, C21, C23, C24, C66, C75",0603,6,2.2u,
"C20, C22",0603,2,4.7u,
"C27, C29, C31, C33",CAP_EEEFN1H181UP,4,220u,
"C3, C4",0603,2,1n,
"C39, C40",0603,2,220n,
"C41, C43, C45, C47, C49, C51, C53, C55, C57, C59",CAP_EEEFN1K470UP,10,68u,
C5,0603,1,1u,
"C6, C7",0603,2,220p,
"C64, C65, C73, C74",0805,4,4.7u,
"C68, C69, C70, C77, C78, C79",0603,6,22u,
"C71, C72",0805,2,10u,
"C8, C9",0603,2,2.2n,
"D1, D2",D_SMA_UD,2,SMAJ12A,
"D10, D11, D12, D15, D16, D17, D18, D3, D4, D5, D6, D7, D8, D9",LED_1608_user_dif,14,LED,
"D13, D14",D_SMA_UD,2,SMAJ26A,
"FET1, FET2",TSOT-23-6,2,FDC653N,
"FET10, FET11, FET12, FET13, FET14, FET3, FET4, FET5, FET6, FET7, FET8, FET9",PQFN-8-EP_6x5mm_P1.27mm_Generic_ud,12,FDMS86183,
FL1,FIL_DLW32SH101XF2L,1,Choke_CommonMode_FerriteCore_1243,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal_ud,1,Conn_01x02_Pin,
"J10, J9",PinSocket_1x03_P2.54mm_Vertical_ud,2,Conn_01x03_Socket,
J11,Molex_SPOX_5268-05A_1x05_P2.50mm_Horizontal_ud,1,Conn_01x05_Socket,
J13,Molex_SPOX_5268-04A_1x04_P2.50mm_Horizontal_ud,1,Conn_01x04_Socket,
"J2, J7",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Conn_01x02_Pin,
"J3, J4, J5, J6",PinSocket_1x04_P2.54mm_Vertical_ud,4,Conn_01x04_Socket,
J8,JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,1,Conn_01x07_Socket,
"L1, L2",B82559B5472A019,2,4.7u,
"L3, L4",74438366010,2,1u,
"R1, R2",0603,2,1.8k,
R10,0603,1,43k,
R11,0603,1,26k,
"R12, R13",0603,2,60,
"R14, R17",0603,2,12k,
"R15, R31, R32, R33, R34, R36, R37, R62, R63, R64",0603,10,1k,
"R18, R20",0402,2,300,
"R19, R21, R26, R35, R61, R65, R67",0402,7,10k,
"R22, R24",0603,2,180k,
"R23, R25, R6, R7, R8",0603,5,10k,
"R27, R28, R29, R30",0402,4,1k,
R3,0603,1,25,
R38,0402,1,1M,
"R4, R5",0603,2,24k,
"R41, R42",2512,2,1m,
"R45, R46, R49, R50, R53, R54, R55, R56",0402,8,50k,
R66,0402,1,71k,
R68,0402,1,115k,
R9,0603,1,60k,
"SW1, SW2",SW_SKRPACE010,2,SW_MEC_5E,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
U2,LM5170QPHPTQ1,1,LM5170QPHPTQ1,
U3,ST32H523CEU6,1,STM32H523CEU6,
U4,SOT-353_SC-70-5,1,TMP235AQDCKRQ1,
"U5, U7",MAX20405AFOFVY,2,MAX20405AFOA/VY+,
U6,TSOT-23,1,MCP1703AT-3302E/CB,
Y1,CSTNE16M0V530000R0,1,Crystal_GND2,
