C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D6:1
D7:1
D8:1
D9:1
F1:1
FB1:1
G***:1
J2:1
J3:1
J4:1
J5:1
J6:1
LT1:1
Q1:1
R10:1
R14:1
R16:1
R17:1
R18:1
R19:1
R2:1
R21:1
R3:1
R4:1
R5:1
R6:1
RVTRANS1:1
U1:1
U2:1
U4:1
U5:1
