BNO55:1
C1:1
C2:1
Connector_Rasp1:1
Connector_Sub1:1
D1:1
D2:1
D3:1
D4:1
D5:1
F446RE_CN10:1
F446RE_CN7:1
J1:1
LS1:1
MCP2562:1
MCP25625:1
NMOS1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
TFT1:1
TFT2:1
TFT3:1
XIAO:1
Y2:1
