Comment,Designator,Footprint,LCSC Part #
0.1u,C1,C1608,
1k,R1,R0603,
3k,R5,R0603,
5k,R4,R0603,
10u,C2 C3 C7 C9,C1608,
22u,C4,C2012,
100k,R3,R0603,
100u,C5 C6 C10,153CLV-0605,
220,R6,R0603,
470k,R2,R0603,
LD1117S33CTR,U2,SOT223,
MC33151DR2G,U3 U4,SOIC127P600X175-8N,
NJM317DL1,U$1,DPAK228P968X238-4N,
SS14,D1,DIOM4325X250N,
