Designator,Mid X,Mid Y,Rotation,Layer
C1,6.373034,8.0,180.0,top
C10,0.2,1.5,180.0,top
C11,3.235534,2.2,270.0,top
C12,0.55,-10.85,0.0,top
C13,0.635534,-12.6,0.0,top
C14,-2.45,-14.35,0.0,top
C15,-2.7,-17.925,90.0,top
C2,8.0,1.4,270.0,top
C3,0.2,3.135534,180.0,top
C4,9.5,8.0,180.0,top
C5,-3.75,-11.9,0.0,bottom
C6,0.235534,8.935534,270.0,top
C7,-1.964466,8.935534,270.0,top
C8,-4.064466,8.935534,270.0,top
C9,3.7,5.6,90.0,top
D1,-17.764466,27.635534,90.0,top
D10,14.719238,-1.045227,180.0,top
D6,14.7,-5.2,180.0,top
D7,14.7,-3.1,180.0,top
D8,-9.3,8.8875,270.0,top
D9,-2.3,2.3,90.0,top
F1,-2.45,-12.6,180.0,top
FB1,-0.6,5.6,270.0,top
J2,-5.0,-3.1,270.0,top
J3,-20.0,6.0,180.0,top
J4,20.0,6.0,180.0,top
J5,13.2,-11.1,315.0,bottom
J6,-7.64,-23.84,90.0,top
LT1,8.235534,4.835534,270.0,top
Q1,16.8,18.85,0.0,bottom
R10,9.9,1.4,90.0,top
R14,9.9,-7.6,0.0,top
R16,9.9,-6.0,0.0,top
R17,-6.7,8.1,180.0,top
R18,-2.3,5.575,270.0,top
R19,9.9,-4.4,0.0,top
R2,1.5,5.6,270.0,top
R21,9.9,-1.7,90.0,top
R3,7.4,9.8,180.0,top
R4,12.835534,7.735534,90.0,top
R5,14.635534,7.735534,90.0,top
R6,15.5,2.0,180.0,top
RVTRANS1,3.073034,8.0,0.0,top
U1,-0.58,21.8,0.0,top
U2,2.860534,-4.6,270.0,top
U4,5.230534,-14.444466,180.0,top
U5,0.05,-17.5,0.0,top
