t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
10,1,64,1526,474,5,4,2,1,39,2,36,-3,21,1000,-9,-12,-1,38,0,0,0,-1294,-1120,1116,1297,0,0,-160,-141,135,167
20,1,64,1596,554,39,11,16,4,200,52,148,-2,4,1000,-90,-111,63,140,0,-4,7,-1513,-1310,1304,1514,0,0,-192,-175,157,202
30,1,64,1684,634,76,2,52,3,287,190,97,-27,31,1000,-236,-93,133,299,0,-42,72,-1741,-1508,1483,1723,0,0,-234,-189,179,233
40,1,64,1779,714,107,7,88,5,322,260,61,-30,-18,1000,-319,-168,187,400,0,-77,125,-1968,-1705,1663,1933,0,0,-246,-214,193,240
50,1,64,1877,794,125,23,123,9,258,304,-45,-14,235,1000,-236,-224,298,512,0,-92,134,-2191,-1898,1847,2148,0,0,-254,-225,202,243
60,1,64,1977,874,161,11,158,14,295,316,-21,-12,135,1000,-359,-290,406,576,0,-140,208,-2421,-2098,2024,2354,0,0,-268,-239,205,248
70,1,64,2076,954,211,44,183,15,440,248,191,-31,270,1000,-417,-382,458,874,0,-205,301,-2656,-2303,2197,2556,0,0,-280,-242,208,248
80,1,64,2176,1034,247,19,218,20,369,254,115,-34,123,1000,-608,-442,553,888,0,-227,283,-2880,-2497,2380,2770,0,1,-296,-260,224,271
90,1,196,2276,1114,328,18,263,26,711,308,402,-58,117,1000,-883,-569,691,1162,0,-259,299,-3107,-2693,2561,2980,0,1,-315,-275,235,285
100,1,196,2376,1194,405,22,296,31,723,312,410,-93,129,1000,-1157,-672,780,1457,0,-282,298,-3331,-2888,2744,3193,0,1,-335,-288,247,302
110,1,192,2476,1274,449,10,324,29,539,297,242,-98,26,1000,-1328,-753,883,1548,0,-322,332,-3560,-3086,2922,3401,0,1,-350,-302,250,308
120,1,197,2533,1354,579,-15,365,25,1051,378,672,-194,-130,1000,-1965,-787,984,2027,0,-365,375,-3789,-3286,3100,3609,0,1,-371,-316,251,323
131,1,197,2557,1434,698,-67,419,29,1092,465,626,-292,-584,1000,-2690,-791,1055,2375,0,-428,472,-4024,-3490,3273,3812,0,1,-396,-337,247,338
141,1,129,1593,668,655,-124,453,28,50,367,0,-289,-423,1000,-2626,-515,1142,2187,-120,498,500,-1932,-1167,1985,1719,0,1,-82,-82,60,79
151,1,196,1630,610,602,-52,466,39,-259,242,527,-108,-827,1000,-2067,-1117,1186,1685,-110,368,467,-1787,-1087,1792,1549,0,1,37,-5,-95,-50
161,1,196,1705,532,432,5,497,50,-1171,272,1479,-21,-562,1000,-1262,-1027,905,1188,-96,38,371,-1627,-1018,1490,1279,0,1,16,-24,-114,-87
171,1,196,1794,453,357,20,500,13,-872,86,1025,-19,-355,1000,-1018,-883,705,1013,-81,-346,189,-1481,-962,1175,995,0,1,42,-8,-131,-99
181,1,192,1890,374,327,62,433,-10,-506,-356,234,-26,-111,1000,-893,-913,498,1009,-67,-463,-131,-1268,-839,926,777,0,1,121,52,-136,-96
191,1,192,1989,295,270,49,381,33,-582,-441,114,-61,135,1000,-830,-658,314,909,-53,-335,-357,-992,-654,737,620,0,1,133,64,-102,-52
201,1,192,2089,216,244,27,350,41,-325,-368,-74,-50,121,1000,-795,-590,312,753,-39,-159,-417,-705,-457,562,476,0,1,144,66,-114,-58
211,1,64,2188,138,256,29,295,15,-137,-389,-229,-33,99,1000,-795,-669,372,748,-24,-86,-417,-447,-288,363,308,0,1,154,69,-139,-83
