168311,1,-800,0,0,0,0,0,0,0,0,0,0,0,0
168411,1,-800,0,0,0,0,0,0,0,0,0,0,0,0
168511,1,-800,0,0,0,0,0,0,0,0,0,0,0,0
168611,1,-800,0,0,0,0,0,0,0,0,0,0,0,0
168711,1,-800,0,0,0,0,0,0,0,0,0,0,0,0
168811,1,-800,0,0,0,0,0,0,0,0,0,0,0,0
168911,1,-800,0,0,0,0,0,0,0,0,0,0,0,0
169011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170011,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170111,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170211,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170312,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170412,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170512,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170612,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170712,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170812,2,800,0,0,0,0,0,0,0,0,0,0,0,0
170912,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171012,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171112,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171212,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171312,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171412,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171512,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171612,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171712,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171812,2,800,0,0,0,0,0,0,0,0,0,0,0,0
171912,2,800,0,0,0,0,0,0,0,0,0,0,0,0
172012,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172112,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172212,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172312,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172412,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172512,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172612,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172712,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172812,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
172912,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
173012,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
173112,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
173212,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
173312,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
173412,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
173512,2,-800,0,0,0,0,0,0,0,0,0,0,0,0
173612,2,199314,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
199414,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
199514,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
199614,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
199714,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
199814,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
199914,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
200014,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200114,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200214,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200314,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200414,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200514,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200614,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200714,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200814,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
200914,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201014,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201114,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201214,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201314,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201414,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201514,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201614,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201714,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201814,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
201914,4,800,-68,31,598,0,1,1,1,1,0,0,0,0
202014,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
202114,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
202214,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
202314,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
