202514,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
202614,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
202714,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
202814,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
202914,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203014,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203114,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203214,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203314,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203414,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203514,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203614,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203714,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203814,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
203914,4,-800,-68,31,598,0,1,1,1,1,0,0,0,0
204014,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
204114,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
204214,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
204314,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
204414,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
204514,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
204614,0,0,-68,31,598,0,1,1,1,1,0,0,0,0
204714,0,0,-68,31,5943607,4,-800,17,-4,19,-821,1,1,1,1,478,498,494,495,0,0,0,0
43707,4,-800,51,4,3,-793,1,1,1,1,497,456,432,498,0,0,0,0
43807,4,-800,-32,31,14,-747,1,1,1,1,497,497,472,490,0,0,0,0
43907,4,-800,-45,-44,-12,-846,1,1,1,1,497,497,497,498,0,0,0,0
44007,0,0,14,22,-45,-760,0,0,0,0,497,498,498,498,0,0,0,0
44107,0,0,19,19,-26,-26,0,0,0,0,478,491,497,497,0,0,0,0
44207,0,0,11,255,-9,14,0,0,0,0,502,435,501,403,0,0,0,0
44307,0,0,-26,22,44,9,0,0,0,0,494,443,497,477,0,0,0,0
44407,0,0,14,25,-9,2,0,0,0,0,488,430,496,490,0,0,0,0
44507,0,0,13,-31,-21,-21,0,0,0,0,412,489,458,426,0,0,0,0
44607,0,0,2,-14,26,-3,0,0,0,0,492,470,497,480,0,0,0,0
44707,0,0,14,-31,9,-12,0,0,0,0,488,494,495,499,0,0,0,0
44807,0,0,21,4,-8,6,0,0,0,0,472,490,494,491,0,0,0,0
44907,0,0,-25,26,34,4,0,0,0,0,488,423,495,492,0,0,0,0
45007,1,800,-4,-6,7,-21,1,1,1,1,467,491,494,481,0,0,0,0
45107,1,800,834,-18,84,25,1,1,1,1,494,495,497,497,0,0,0,0
45207,1,800,766,33,26,63,1,1,1,1,497,498,497,498,0,0,0,0
45307,1,800,872,-22,-19,-9,1,1,1,1,498,501,502,501,0,0,0,0
45407,1,800,727,7,1,-7,1,1,1,1,494,498,497,495,0,0,0,0
45507,1,800,845,-2,35,-25,1,1,1,1,497,497,497,497,0,0,0,0
45607,1,800,769,53,-14,19,1,1,1,1,493,434,496,497,0,0,0,0
45707,1,800,764,-19,-22,19,1,1,1,1,494,462,467,495,0,0,0,0
45807,1,800,820,-8,12,-6,1,1,1,1,497,493,493,497,0,0,0,0
45907,1,800,825,-2,19,35,1,1,1,1,495,495,496,496,0,0,0,0
