34203,0,0,-31,-4,0,-3,0,0,0,0,497,492,498,498,2,6,1,1,1,44,-1,-1
34303,0,0,51,-9,-22,13,0,0,0,0,495,494,498,477,2,6,1,1,1,44,-1,-2
34403,0,0,-8,-17,-4,-4,0,0,0,0,485,430,126414,1,800,766,24,29,9,1,1,1,1,499,498,496,499,7,9,1,5,2,162,-10,-2
126514,1,800,835,-14,-11,8,1,1,1,1,499,499,499,499,7,9,1,5,1,162,3,2
126614,1,800,783,-33,-14,-13,1,1,1,1,494,495,494,494,7,9,1,5,1,162,-2,0
126714,1,800,816,-8,39,1,1,1,1,1,499,500,499,500,7,9,1,5,2,163,16,6
126814,1,800,809,-52,57,0,1,1,1,1,494,493,494,494,7,9,1,5,0,163,15,7
126914,1,800,781,-4,-3,4,1,1,1,1,496,500,499,499,7,9,1,5,1,163,8,3
127014,1,-800,506,-13,14,3,1,1,1,1,495,490,498,498,7,9,1,5,0,163,3,10
127114,1,-800,-971,58,72,-2,1,1,1,1,493,495,493,492,7,9,1,5,1,163,21,10
127214,1,-800,-907,3,-3,2,1,1,1,1,499,500,500,500,7,9,1,5,0,163,3,0
127314,1,-800,-512,14,-44,7,1,1,1,1,492,495,493,494,7,9,1,5,1,163,8,6
127414,1,-800,-714,37,11,-13,1,1,1,1,497,498,497,499,7,9,1,5,1,163,15,7
127514,1,-800,-762,-6,48,-21,1,1,1,1,494,494,492,495,7,9,1,5,1,163,-13,2
127614,1,-800,-778,-24,13,22,1,1,1,1,500,494,498,500,7,9,1,5,1,164,-3,-1
127714,1,-800,-809,-45,-32,-2,1,1,1,1,495,496,495,495,7,9,1,5,1,164,0,3
127814,1,-800,-766,-6,0,12,1,1,1,1,500,500,499,500,7,9,1,5,0,164,7,4
127914,1,-800,-826,29,-44,14,1,1,1,1,493,437,492,494,7,9,1,5,2,164,-7,2
128014,1,-800,-735,-9,4,8,1,1,1,1,500,463,499,499,7,9,1,5,1,164,4,3
128114,1,-800,-1031,19,-8,9,1,1,1,1,498,494,498,465,7,9,1,5,1,164,9,4
128214,1,-800,-778,-38,-21,13,1,1,1,1,495,493,494,495,7,9,1,5,1,164,-17,-1
128314,1,-800,-701,-13,-252,-22,1,1,1,1,500,482,500,500,7,9,1,5,1,164,-11,3
128414,1,-800,-816,12,-19,4,1,1,1,1,495,492,496,496,7,9,1,5,1,164,7,1
128514,1,-800,-785,18,33,19,1,1,1,1,493,472,494,493,7,9,1,5,1,165,8,5
128614,1,-800,-796,4,16,-4,1,1,1,1,499,501,499,500,7,9,1,5,1,165,17,4
128714,1,-800,-833,0,6,8,1,1,1,1,499,500,499,499,7,9,1,5,1,165,-16,4
128814,1,-800,-833,41,-19,9,1,1,1,1,494,494,493,494,7,9,1,5,1,165,0,0
128914,1,-800,-962,-11,-14,-14,1,1,1,1,490,500,499,500,7,9,1,5,1,165,-9,0
129014,0,0,-747,-50,48,1,0,0,0,0,494,491,495,492,7,9,1,5,1,165,-8,-1
129114,0,0,12,-13,9,16,0,0,0,0,488,492,492,496,7,9,1,5,1,165,5,1
129214,0,0,26,36,8,11,0,0,0,0,493,428,490,489,7,9,1,5,1,165,0,0
129314,0,0,9,-52,0,-11,0,0,0,0,489,484,496,484,7,9,1,5,1,166,1,-2
129414,0,0,-3,13,42,22,0,0,0,0,493,496,498,496,7,9,1,5,1,166,2,0
129514,0,0,-9,-19,25,-7,0,0,0,0,493,496,492,490,7,9,1,5,1,166,1,-1
129614,0,0,-19,7,22,2,0,0,0,0,488,462,491,494,7,9,1,5,1,166,0,-3
