Designator,Mid X,Mid Y,Rotation,Layer
C1,-18.669,21.082,180.0,top
C10,7.213959,-3.556,90.0,top
C100,-22.225,-26.67,0.0,bottom
C101,-29.598297,-16.107804,180.0,bottom
C102,-29.598297,-12.805804,180.0,bottom
C103,-29.598297,-9.503804,180.0,bottom
C104,-29.598297,-6.201804,180.0,bottom
C105,-29.598297,-2.899804,180.0,bottom
C106,-12.573,-3.556,90.0,top
C107,-9.525,-3.556,90.0,top
C108,-6.096,-8.001,0.0,top
C109,1.778,-14.732,180.0,top
C11,8.737959,-3.556,90.0,top
C110,-1.778,-14.732,0.0,top
C111,1.778,14.732,180.0,top
C112,-1.778,14.732,0.0,top
C113,15.24,-28.448,0.0,top
C114,-16.637,0.0,90.0,top
C115,16.637,0.0,270.0,top
C116,-15.24,-28.448,0.0,top
C12,29.617743,-2.921614,0.0,bottom
C13,29.617743,-6.223614,0.0,bottom
C14,18.669,21.082,0.0,top
C15,21.209,30.48,90.0,top
C16,29.617743,-9.525614,0.0,bottom
C17,22.225,-26.67,0.0,bottom
C18,22.225,-20.574,180.0,bottom
C19,22.225,-17.526,0.0,bottom
C2,-21.209,30.48,90.0,top
C20,22.225,-11.43,180.0,bottom
C21,22.225,-8.382,0.0,bottom
C22,22.225,-2.286,180.0,bottom
C23,29.617743,-12.827614,0.0,bottom
C24,29.617743,-16.129614,0.0,bottom
C25,29.617743,-19.431614,0.0,bottom
C26,29.617743,-22.733614,0.0,bottom
C27,29.608743,-26.035614,0.0,bottom
C28,12.573,-18.564688,270.0,top
C29,9.525,-18.564688,270.0,top
C3,15.621,-18.564688,270.0,top
C30,6.11063,-14.112678,180.0,top
C31,15.621,3.556,270.0,top
C32,16.637,3.556,270.0,top
C33,6.096,15.113,180.0,top
C34,6.096,16.129,180.0,top
C35,10.287,18.542,90.0,top
C36,18.669,28.448,0.0,top
C37,16.637,18.542,90.0,top
C38,7.239,18.542,90.0,top
C39,8.763,18.542,90.0,top
C4,16.637,-18.564688,270.0,top
C40,29.617743,26.034386,0.0,bottom
C41,29.617743,22.732386,0.0,bottom
C42,29.617743,19.430386,0.0,bottom
C43,22.225,2.286,0.0,bottom
C44,22.225,8.382,180.0,bottom
C45,22.225,11.43,0.0,bottom
C46,22.225,17.526,180.0,bottom
C47,22.225,20.574,0.0,bottom
C48,22.225,26.67,180.0,bottom
C49,29.617743,16.128386,0.0,bottom
C5,6.11063,-7.000678,180.0,top
C50,29.617743,12.826386,0.0,bottom
C51,29.617743,9.524386,0.0,bottom
C52,29.617743,6.222386,0.0,bottom
C53,29.617743,2.920386,0.0,bottom
C54,12.573,3.556,270.0,top
C55,9.525,3.556,270.0,top
C56,6.096,8.001,180.0,top
C57,-15.621,18.542,90.0,top
C58,-16.637,18.542,90.0,top
C59,-6.096,6.985,0.0,top
C6,6.11063,-5.984678,180.0,top
C60,-6.096,5.969,0.0,top
C61,-10.287,3.556,270.0,top
C62,-18.669,28.448,180.0,top
C63,-16.637,3.556,270.0,top
C64,-7.239,3.556,270.0,top
C65,-8.763,3.556,270.0,top
C66,-29.617818,2.939946,180.0,bottom
C67,-29.617818,6.241946,180.0,bottom
C68,-29.617818,9.543946,180.0,bottom
C69,-22.225,26.67,180.0,bottom
C7,10.261959,-3.556,90.0,top
C70,-22.225,20.574,0.0,bottom
C71,-22.225,17.526,180.0,bottom
C72,-22.229831,11.435302,0.0,bottom
C73,-22.225,8.382,180.0,bottom
C74,-22.225,2.286,0.0,bottom
C75,-29.617818,12.845946,180.0,bottom
C76,-29.617818,16.147946,180.0,bottom
C77,-29.617818,19.449946,180.0,bottom
C78,-29.617818,22.751946,180.0,bottom
C79,-29.617818,26.053946,180.0,bottom
C8,18.669,-28.448,0.0,top
C80,-12.573,18.542,90.0,top
C81,-9.525,18.542,90.0,top
C82,-6.096,15.113,0.0,top
C83,-15.621,-3.556,90.0,top
C84,-16.637,-3.556,90.0,top
C85,-6.096,-15.113,0.0,top
C86,-6.096,-16.129,0.0,top
C87,-10.287,-18.542,270.0,top
C88,-18.669,-28.448,180.0,top
C89,-16.637,-18.542,270.0,top
C9,16.637,-3.556,90.0,top
C90,-7.239,-18.542,270.0,top
C91,-8.763,-18.542,270.0,top
C92,-29.598297,-26.013804,180.0,bottom
C93,-29.598297,-22.711804,180.0,bottom
C94,-29.598297,-19.409804,180.0,bottom
C95,-22.225,-2.286,180.0,bottom
C96,-22.225,-8.382,0.0,bottom
C97,-22.225,-11.43,180.0,bottom
C98,-22.225,-17.526,0.0,bottom
C99,-22.225,-20.574,180.0,bottom
