Designator,Mid X,Mid Y,Rotation,Layer
J16,-12.7,30.48,90.0,top
J2,-36.031,4.826,90.0,top
J3,-35.836,-15.24,270.0,top
J4,-36.031,-4.826,90.0,top
J5,35.836,-15.24,90.0,top
J6,36.031,-4.826,270.0,top
J7,35.836,15.24,90.0,top
J8,36.031,4.826,270.0,top
J9,0.0,25.794,0.0,top
L1,0.0,4.064,270.0,top
L2,0.0,-16.51,270.0,top
L3,0.0,-4.064,90.0,top
L4,0.0,16.51,90.0,top
MCU1,-13.462,11.43,180.0,top
MCU2,-13.462,-11.43,180.0,top
MCU3,13.462,-11.43,0.0,top
MCU4,13.462,11.43,0.0,top
R1,15.367,-22.606,0.0,top
R10,-5.842,16.002,180.0,top
R100,13.97,19.05,90.0,top
R101,14.986,19.05,90.0,top
R102,12.954,19.05,90.0,top
R103,5.842,10.922,180.0,top
R104,5.842,12.954,180.0,top
R105,5.842,11.938,180.0,top
R106,21.844,9.271,270.0,top
R107,21.844,2.413,270.0,top
R108,21.844,18.415,90.0,top
R109,21.844,11.557,90.0,top
R11,-5.842,14.986,180.0,top
R110,21.844,27.559,90.0,top
R111,21.844,20.701,90.0,top
R112,25.781,5.588,180.0,bottom
R113,25.781,14.732,180.0,bottom
R114,25.781,23.876,180.0,bottom
R116,12.954,3.81,90.0,top
R117,16.002,3.81,90.0,top
R118,14.986,3.81,90.0,top
R119,11.938,3.81,90.0,top
R12,-11.938,19.05,270.0,top
R120,8.89,3.81,90.0,top
R121,9.906,3.81,90.0,top
R122,5.842,9.906,0.0,top
R123,5.842,6.858,0.0,top
R124,5.842,7.874,0.0,top
R129,18.669,-31.496,180.0,top
R13,-8.89,19.05,270.0,top
R130,18.669,31.496,0.0,top
R14,-9.906,19.05,270.0,top
R15,-12.954,19.05,270.0,top
R16,-16.002,19.05,270.0,top
R17,-14.986,19.05,270.0,top
R18,-18.034,3.81,90.0,top
R19,-17.018,3.81,270.0,top
R2,9.017,-22.606,180.0,top
R20,-4.699,-22.733,90.0,top
R21,-5.842,8.89,180.0,top
R22,-13.97,3.81,270.0,top
R23,-14.986,3.81,270.0,top
R24,-12.954,3.81,270.0,top
R25,-5.842,11.938,0.0,top
R26,-5.842,9.906,0.0,top
R27,-5.842,10.922,0.0,top
R28,-21.844,20.701,90.0,top
R29,-21.844,27.559,90.0,top
R3,-8.89,-22.606,0.0,top
R30,-21.844,11.557,90.0,top
R31,-21.844,18.415,90.0,top
R32,-21.844,2.413,270.0,top
R33,-21.844,9.271,270.0,top
R34,-25.781,24.384,0.0,bottom
R35,-25.781,15.24,0.0,bottom
R36,-25.781,6.096,0.0,bottom
R37,-2.159,-22.733,90.0,top
R38,-18.034,-19.05,90.0,top
R39,-17.018,-19.05,270.0,top
R4,-15.24,-22.606,180.0,top
R40,2.159,-22.733,90.0,top
R41,-5.842,-13.97,180.0,top
R42,-13.97,-19.05,270.0,top
R43,-14.986,-19.05,270.0,top
R44,-12.954,-19.05,270.0,top
R45,-5.842,-10.922,0.0,top
R46,-5.842,-12.954,0.0,top
R47,-5.842,-11.938,0.0,top
R48,-21.844,-9.271,90.0,top
R49,-21.844,-2.413,90.0,top
R5,-18.669,-31.496,0.0,top
R50,-21.844,-18.415,270.0,top
R51,-21.844,-11.557,270.0,top
R52,-21.844,-27.559,270.0,top
R53,-21.844,-20.701,270.0,top
R54,-25.781,-5.588,0.0,bottom
R55,-25.781,-14.732,0.0,bottom
R56,-25.781,-23.876,0.0,bottom
R57,4.699,-22.733,90.0,top
R58,-12.954,-3.81,270.0,top
R59,-16.002,-3.81,270.0,top
R6,-18.669,31.496,180.0,top
R60,-14.986,-3.81,270.0,top
R61,-11.938,-3.81,270.0,top
R62,-8.89,-3.81,270.0,top
R63,-9.906,-3.81,270.0,top
R64,-5.842,-9.906,180.0,top
R65,-5.842,-6.858,180.0,top
R66,-5.842,-7.874,180.0,top
R67,18.034,-3.81,270.0,top
R68,17.018,-3.81,90.0,top
R7,1.778,22.606,180.0,top
R70,5.842,-8.89,0.0,top
R71,13.97,-3.81,90.0,top
R72,14.986,-3.81,90.0,top
R73,12.954,-3.81,90.0,top
R74,5.842,-11.938,180.0,top
R75,5.842,-9.906,180.0,top
R76,5.842,-10.922,180.0,top
R77,21.844,-20.701,270.0,top
R78,21.844,-27.559,270.0,top
R79,21.844,-11.557,270.0,top
R8,-1.778,22.606,180.0,top
R80,21.844,-18.415,270.0,top
R81,21.844,-2.413,90.0,top
R82,21.844,-9.271,90.0,top
R83,25.781,-24.384,180.0,bottom
R84,25.781,-15.24,180.0,bottom
R85,25.781,-6.096,180.0,bottom
R87,12.954,-19.05,90.0,top
R88,16.002,-19.05,90.0,top
R89,14.986,-19.05,90.0,top
R9,-5.842,12.954,180.0,top
R90,11.938,-19.05,90.0,top
R91,8.89,-19.05,90.0,top
R92,9.906,-19.05,90.0,top
R93,5.842,-12.954,0.0,top
R94,5.842,-16.002,0.0,top
R95,5.842,-14.986,0.0,top
R96,18.034,19.05,270.0,top
R97,17.018,19.05,90.0,top
R99,5.842,13.97,0.0,top
SW1,-12.065,-26.797,0.0,top
SW10,12.192,-26.797,0.0,top
SW3,-18.669,24.765,90.0,top
SW5,-18.669,-24.765,90.0,top
SW7,18.669,-24.765,270.0,top
SW9,18.669,24.765,270.0,top
U1,-12.573,25.4,270.0,top
U2,12.573,25.4,90.0,top
