Designator,Mid X,Mid Y,Rotation,Layer
C1,25.781,-4.736,0.0,top
C10,-41.5555,28.575,180.0,bottom
C11,52.705,-8.382,270.0,top
C12,-45.466,-29.2365,90.0,top
C13,45.9544,-8.3994,90.0,top
C14,12.7265,-12.065,0.0,top
C15,14.224,-8.83,180.0,top
C16,6.7142,-0.239,0.0,top
C17,14.224,-7.239,180.0,top
C18,43.434,-14.7585,270.0,top
C19,-38.62,-27.7,0.0,bottom
C2,20.1665,-5.08,0.0,top
C20,-26.335,-25.781,180.0,bottom
C21,8.128,9.063,270.0,bottom
C22,-28.8025,-12.573,0.0,bottom
C23,58.374,-17.399,180.0,top
C24,-59.436,25.527,180.0,bottom
C25,47.752,-22.479,180.0,top
C26,-45.339,-29.972,180.0,bottom
C27,17.099,-23.876,180.0,top
C28,46.9564,20.9374,0.0,top
C3,29.278,-4.736,0.0,top
C4,14.478,-1.2192,270.0,top
C5,15.3924,6.6548,270.0,top
C6,18.6955,10.414,180.0,top
C7,31.178,6.064,90.0,top
C8,14.224,-5.588,180.0,top
C9,46.9564,8.8,0.0,top
D1,62.738,5.283,270.0,top
D10,25.1365,30.589334,0.0,top
D11,57.836,5.283,270.0,top
D13,-62.23,12.1945,90.0,top
D14,-60.579,12.1835,90.0,top
D15,61.104,5.283,270.0,top
D16,10.287,-15.494,180.0,top
D3,59.47,5.283,270.0,top
D4,-3.556,16.892,90.0,top
D5,-1.016,16.892,90.0,top
D6,3.81,7.112,90.0,top
D7,25.1365,28.956,0.0,top
D8,25.1365,27.322667,0.0,top
D9,25.146,25.654,0.0,top
J1,-10.25,-1.518916,0.0,top
J13,56.83,27.469,0.0,bottom
J14,47.8,27.469,0.0,bottom
J15,35.56,-1.26,0.0,top
J16,-15.5,-24.95,180.0,bottom
J2,0.31,15.03,90.0,bottom
J3,61.136,-6.319,90.0,top
J4,33.528,27.178,90.0,top
J6,58.06,10.167,270.0,bottom
J8,-4.45,-24.8,0.0,bottom
LS1,20.828,18.288,0.0,top
PS1,37.2525,-30.792,0.0,top
Q1,27.8185,-15.306,180.0,top
Q2,9.634,18.288,180.0,top
Q4,35.6362,-15.4573,180.0,top
R1,40.7,20.2,0.0,top
R10,1.524,9.906,270.0,top
R11,1.524,6.1995,270.0,top
R12,21.4395,28.956,180.0,top
R13,21.4395,27.322667,180.0,top
R14,21.4395,25.654,180.0,top
R15,21.4395,30.589334,180.0,top
R16,57.836,9.7705,90.0,top
R17,61.104,9.7705,90.0,top
R18,-62.23,15.621,270.0,top
R19,-60.579,15.621,270.0,top
R2,62.738,9.7705,270.0,top
R20,6.6865,-10.8222,180.0,top
R21,27.5355,-12.065,0.0,top
R22,31.068,-12.065,180.0,top
R3,49.2703,-9.136,180.0,top
R4,49.276,-7.485,180.0,top
R6,59.47,9.7705,90.0,top
R7,9.5015,15.494,0.0,top
R8,2.0847,2.7686,0.0,bottom
R9,2.0847,1.1684,0.0,bottom
ROTSW1,-61.379,-15.447,90.0,top
SW1,47.1564,4.875,90.0,top
SW2,-61.432,4.52,90.0,top
SW3,-61.432,-5.23,90.0,top
SW4,42.545,11.9399,90.0,top
SW5,47.1564,17.1274,90.0,top
U1,23.495,2.794,270.0,top
U10,-6.41,-0.245,0.0,top
U2,49.444,-3.691,90.0,top
U3,-24.819,-11.979,180.0,top
U4,-45.72,6.365,0.0,top
U5,-45.72,-11.42,0.0,top
U6,-2.6924,-0.0916,0.0,top
U7,20.599,-14.351,180.0,top
U8,6.604,-4.764,180.0,top
U9,-35.814,-17.272,0.0,bottom
Y1,15.0876,3.048,270.0,top
