Designator,Footprint,Quantity,Value,LCSC Part #
"C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1",0603,8,0.1uf,
"D1_4, D1_3, D1_2, D1",LED_3mm_TopBottom,4,LED,
"J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,8,Conn_01x03,
"TP1_4, TP1_3, TP1_2, TP1, TP2_4, TP2_3, TP2_2, TP2, TP3_4, TP3_3, TP3_2, TP3, TP4_4, TP4_3, TP4_2, TP4, TP5_4, TP5_3, TP5_2, TP5, TP6_4, TP6_3, TP6_2, TP6",TestPoint_Keystone_5015_Micro_Mini,24,TestPoint,
"U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",SOIC-8_3.9x4.9mm_P1.27mm,8,~,
