Designator,Mid X,Mid Y,Rotation,Layer
C1,-13.9435,-18.923,180.0,top
C10,25.3492,-1.3755,90.0,top
C11,13.6398,4.0121,90.0,top
C12,15.2146,4.0121,90.0,top
C13,16.7894,4.0132,90.0,top
C14,-8.9154,-31.5135,270.0,top
C15,-8.9408,-36.0172,270.0,top
C16,38.6158,-9.0932,0.0,top
C17,38.6158,-11.1252,0.0,top
C18,38.6119,-13.1572,0.0,top
C19,38.6119,-15.1892,0.0,top
C2,-3.6576,-28.7539,270.0,top
C20,30.8048,2.3114,180.0,top
C21,38.628,2.286,0.0,top
C22,-2.9972,-10.8618,0.0,top
C23,-2.9972,-12.3952,0.0,top
C24,-5.1297,-3.3528,180.0,top
C25,46.825,-24.1125,90.0,top
C26,61.8782,-47.0408,0.0,top
C27,26.9024,-47.0662,180.0,top
C28,4.6702,-33.0974,180.0,top
C3,-13.9446,-17.3482,180.0,top
C4,-15.1638,-24.2316,270.0,top
C5,-16.7132,-24.2316,270.0,top
C6,15.7226,-3.937,180.0,top
C7,12.065,4.0121,90.0,top
C8,5.8928,3.1496,90.0,top
C9,23.3552,-1.3755,90.0,top
D1,4.2532,-21.463,180.0,top
D2,4.2418,-18.3388,180.0,top
D3,4.2418,-19.9136,180.0,top
D4,38.5572,-25.9334,180.0,top
D5,-12.0904,-10.0584,180.0,top
D6,-12.1018,-8.5344,180.0,top
D7,7.9,12.2,0.0,top
D8,7.9,10.675,0.0,top
D9,7.9,9.15,0.0,top
J1,32.15,8.75,180.0,top
J2,-10.9982,-50.3626,90.0,top
L1,15.113,-0.8368,90.0,top
Q1,19.0868,-67.9694,0.0,top
Q2,2.7004,-13.311,0.0,top
R1,-10.6934,-16.129,270.0,top
R10,28.0416,-67.003,180.0,top
R11,28.0181,-64.717,180.0,top
R12,3.3274,-5.4356,180.0,top
R13,3.3274,-6.9596,180.0,top
R14,-15.494,-10.0584,0.0,top
R15,-15.4921,-8.5344,0.0,top
R16,-2.6162,-15.0114,270.0,top
R17,8.15,-31.675,180.0,top
R18,4.6721,-31.675,180.0,top
R19,-1.8815,-8.4582,0.0,top
R2,14.7593,-6.0198,180.0,top
R20,11.4375,12.2,180.0,top
R21,11.4375,10.675,180.0,top
R22,11.4375,9.15,180.0,top
R3,18.1591,-6.0198,0.0,top
R4,0.7893,-21.463,0.0,top
R5,0.7893,-18.3388,0.0,top
R6,0.7893,-19.9136,0.0,top
R7,-5.1308,-4.953,180.0,top
R8,28.0416,-71.627,180.0,top
R9,28.0416,-69.289,180.0,top
SW1,-13.455,-31.487,180.0,top
SW2,-13.462,-35.941,180.0,top
T1,20.828,-17.78,180.0,top
U1,-8.3756,-23.225,270.0,top
U2,8.9639,3.1648,180.0,top
U3,19.6656,-3.2612,0.0,top
U4,-7.341,-9.2624,90.0,top
